PC_NAME,HOUR,CPU_PERCENTAGE,MEMORY,MEMORY_PERCENTAGE 
DESKTOP-O325S3M,17:46:59,16,4031,56
DESKTOP-O325S3M,17:47:03,52,4036,56
DESKTOP-O325S3M,17:47:06,47,4034,56
DESKTOP-O325S3M,17:47:09,26,4051,56
DESKTOP-O325S3M,17:47:12,44,4084,56
DESKTOP-O325S3M,17:47:15,33,4086,57
DESKTOP-O325S3M,17:47:17,76,4105,57
DESKTOP-O325S3M,17:47:21,41,4134,57
DESKTOP-O325S3M,17:47:24,10,4146,57
DESKTOP-O325S3M,17:47:27,32,4129,57
DESKTOP-O325S3M,17:47:30,54,4130,57
DESKTOP-O325S3M,17:47:33,46,4124,57
DESKTOP-O325S3M,17:47:36,47,4055,56
DESKTOP-O325S3M,17:47:39,32,4078,56
DESKTOP-O325S3M,17:47:42,29,4077,56
DESKTOP-O325S3M,17:47:45,19,4054,56
DESKTOP-O325S3M,17:47:48,20,4056,56
DESKTOP-O325S3M,17:47:51,31,4046,56
DESKTOP-O325S3M,17:47:54,69,4062,56
DESKTOP-O325S3M,17:47:57,37,4083,56
DESKTOP-O325S3M,17:48:00,27,4080,56
DESKTOP-O325S3M,17:48:03,42,4070,56
DESKTOP-O325S3M,17:48:06,70,4074,56
DESKTOP-O325S3M,17:48:09,87,4139,57
DESKTOP-O325S3M,17:48:12,82,4139,57
DESKTOP-O325S3M,17:48:15,52,4168,58
DESKTOP-O325S3M,17:48:18,71,4191,58
DESKTOP-O325S3M,17:48:20,73,4207,58
DESKTOP-O325S3M,17:48:24,52,4201,58
DESKTOP-O325S3M,17:48:27,27,4202,58
DESKTOP-O325S3M,17:48:30,23,4140,57
DESKTOP-O325S3M,17:48:33,43,4142,57
DESKTOP-O325S3M,17:48:36,54,4159,58
DESKTOP-O325S3M,17:48:39,79,4182,58
DESKTOP-O325S3M,17:48:42,17,4176,58
DESKTOP-O325S3M,17:48:45,48,4167,58
DESKTOP-O325S3M,17:48:48,15,4167,58
DESKTOP-O325S3M,17:48:51,19,4175,58
DESKTOP-O325S3M,17:48:54,51,4253,59
DESKTOP-O325S3M,17:48:57,73,4252,59
DESKTOP-O325S3M,17:49:00,36,4209,58
DESKTOP-O325S3M,17:49:04,41,4190,58
DESKTOP-O325S3M,17:49:07,39,4183,58
DESKTOP-O325S3M,17:49:10,14,4182,58
DESKTOP-O325S3M,17:49:13,9,4169,58
DESKTOP-O325S3M,17:49:16,51,4177,58
DESKTOP-O325S3M,17:49:19,74,4192,58
DESKTOP-O325S3M,17:49:22,19,4178,58
DESKTOP-O325S3M,17:49:25,9,4182,58
DESKTOP-O325S3M,17:49:28,35,4181,58
DESKTOP-O325S3M,17:49:31,42,4173,58
DESKTOP-O325S3M,17:49:34,39,4178,58
DESKTOP-O325S3M,17:49:37,25,4176,58
DESKTOP-O325S3M,17:49:40,42,4185,58
DESKTOP-O325S3M,17:49:43,58,4182,58
DESKTOP-O325S3M,17:49:46,13,4170,58
DESKTOP-O325S3M,17:49:49,44,4185,58
DESKTOP-O325S3M,17:49:52,19,4185,58
DESKTOP-O325S3M,17:49:55,27,4186,58
DESKTOP-O325S3M,17:49:58,11,4184,58
DESKTOP-O325S3M,17:50:01,55,4174,58
DESKTOP-O325S3M,17:50:04,39,4167,58
DESKTOP-O325S3M,17:50:07,46,4163,58
DESKTOP-O325S3M,17:50:10,25,4159,58
DESKTOP-O325S3M,17:50:13,19,4165,58
DESKTOP-O325S3M,17:50:16,4,4157,57
DESKTOP-O325S3M,17:50:19,24,4164,58
DESKTOP-O325S3M,17:50:22,26,4162,58
DESKTOP-O325S3M,17:50:25,6,4160,58
DESKTOP-O325S3M,17:50:28,12,4160,58
DESKTOP-O325S3M,17:50:31,6,4159,58
DESKTOP-O325S3M,17:50:34,12,4159,58
DESKTOP-O325S3M,17:50:37,36,4145,57
DESKTOP-O325S3M,17:50:40,48,4139,57
DESKTOP-O325S3M,17:50:43,76,4177,58
DESKTOP-O325S3M,17:50:46,46,4216,58
DESKTOP-O325S3M,17:50:49,47,4228,58
DESKTOP-O325S3M,17:50:52,39,4232,59
DESKTOP-O325S3M,17:50:55,32,4236,59
DESKTOP-O325S3M,17:50:58,45,4234,59
DESKTOP-O325S3M,17:51:01,41,4243,59
DESKTOP-O325S3M,17:51:04,59,4251,59
DESKTOP-O325S3M,17:51:07,24,4254,59
DESKTOP-O325S3M,17:51:10,41,4254,59
DESKTOP-O325S3M,17:51:13,39,4264,59
DESKTOP-O325S3M,17:51:16,36,4282,59
DESKTOP-O325S3M,17:51:19,24,4284,59
DESKTOP-O325S3M,17:51:22,19,4282,59
DESKTOP-O325S3M,17:51:25,29,4278,59
DESKTOP-O325S3M,17:51:28,25,4284,59
DESKTOP-O325S3M,17:51:31,31,4285,59
DESKTOP-O325S3M,17:51:34,54,4284,59
DESKTOP-O325S3M,17:51:37,51,4321,60
DESKTOP-O325S3M,17:51:40,54,4360,60
DESKTOP-O325S3M,17:51:46,47,4176,58
DESKTOP-O325S3M,17:51:50,59,4188,58
DESKTOP-O325S3M,17:51:53,39,4179,58
DESKTOP-O325S3M,17:51:56,20,4172,58
DESKTOP-O325S3M,17:51:59,52,4156,57
DESKTOP-O325S3M,17:52:02,24,4164,58
DESKTOP-O325S3M,17:52:06,23,4301,60
DESKTOP-O325S3M,17:52:09,35,4182,58
DESKTOP-O325S3M,17:52:12,17,4196,58
DESKTOP-O325S3M,17:52:15,29,4185,58
DESKTOP-O325S3M,17:52:18,47,4201,58
DESKTOP-O325S3M,17:52:21,49,4185,58
DESKTOP-O325S3M,17:52:24,31,4160,58
DESKTOP-O325S3M,17:52:27,7,4161,58
DESKTOP-O325S3M,17:52:30,4,4160,58
DESKTOP-O325S3M,17:52:33,32,4177,58
DESKTOP-O325S3M,17:52:36,26,4189,58
DESKTOP-O325S3M,17:52:39,7,4193,58
DESKTOP-O325S3M,17:52:42,10,4189,58
DESKTOP-O325S3M,17:52:45,38,4198,58
DESKTOP-O325S3M,17:52:48,44,4198,58
DESKTOP-O325S3M,17:52:51,27,4196,58
DESKTOP-O325S3M,17:52:54,35,4202,58
DESKTOP-O325S3M,17:52:57,28,4192,58
DESKTOP-O325S3M,17:53:00,47,4211,58
DESKTOP-O325S3M,17:53:03,20,4222,58
DESKTOP-O325S3M,17:53:06,25,4227,58
DESKTOP-O325S3M,17:53:09,45,4237,59
DESKTOP-O325S3M,17:53:12,25,4236,59
DESKTOP-O325S3M,17:53:15,32,4235,59
DESKTOP-O325S3M,17:53:18,28,4232,59
DESKTOP-O325S3M,17:53:21,41,4230,59
DESKTOP-O325S3M,17:53:24,26,4237,59
DESKTOP-O325S3M,17:53:27,42,4242,59
DESKTOP-O325S3M,17:53:30,37,4243,59
DESKTOP-O325S3M,17:53:33,32,4236,59
DESKTOP-O325S3M,17:53:36,39,4255,59
DESKTOP-O325S3M,17:53:39,19,4280,59
DESKTOP-O325S3M,17:53:42,48,4283,59
DESKTOP-O325S3M,17:53:45,25,4280,59
DESKTOP-O325S3M,17:53:48,48,4275,59
DESKTOP-O325S3M,17:53:51,15,4275,59
DESKTOP-O325S3M,17:53:54,35,4219,58
DESKTOP-O325S3M,17:53:57,24,4174,58
DESKTOP-O325S3M,17:54:00,13,4166,58
DESKTOP-O325S3M,17:54:03,8,4165,58
DESKTOP-O325S3M,17:54:06,31,4169,58
DESKTOP-O325S3M,17:54:09,44,4196,58
DESKTOP-O325S3M,17:54:12,36,4192,58
DESKTOP-O325S3M,17:54:15,29,4192,58
DESKTOP-O325S3M,17:54:18,33,4191,58
DESKTOP-O325S3M,17:54:21,25,4180,58
DESKTOP-O325S3M,17:54:24,16,4192,58
DESKTOP-O325S3M,17:54:27,5,4190,58
DESKTOP-O325S3M,17:54:30,7,4183,58
DESKTOP-O325S3M,17:54:33,8,4181,58
DESKTOP-O325S3M,17:54:36,19,4174,58
DESKTOP-O325S3M,17:54:39,10,4174,58
DESKTOP-O325S3M,17:54:42,8,4171,58
DESKTOP-O325S3M,17:54:45,7,4169,58
DESKTOP-O325S3M,17:54:48,9,4168,58
DESKTOP-O325S3M,17:54:51,17,4165,58
DESKTOP-O325S3M,17:54:54,5,4161,58
DESKTOP-O325S3M,17:54:57,7,4159,58
DESKTOP-O325S3M,17:55:00,6,4159,58
DESKTOP-O325S3M,17:55:03,43,4164,58
DESKTOP-O325S3M,17:55:06,39,4113,57
DESKTOP-O325S3M,17:55:09,4,4099,57
DESKTOP-O325S3M,17:55:12,7,4099,57
DESKTOP-O325S3M,17:55:15,7,4098,57
DESKTOP-O325S3M,17:55:18,25,4104,57
DESKTOP-O325S3M,17:55:21,6,4103,57
DESKTOP-O325S3M,17:55:24,7,4102,57
DESKTOP-O325S3M,17:55:27,8,4101,57
DESKTOP-O325S3M,17:55:30,19,4100,57
DESKTOP-O325S3M,17:55:33,6,4090,57
DESKTOP-O325S3M,17:55:36,2,4087,57
DESKTOP-O325S3M,17:55:39,15,4080,56
DESKTOP-O325S3M,17:55:42,1,4076,56
DESKTOP-O325S3M,17:55:45,20,4074,56
DESKTOP-O325S3M,17:55:48,1,4074,56
DESKTOP-O325S3M,17:55:51,22,4070,56
DESKTOP-O325S3M,17:55:54,16,4048,56
DESKTOP-O325S3M,17:55:57,32,4048,56
