PC_NAME,HOUR,CPU_PERCENTAGE,MEMORY,MEMORY_PERCENTAGE
EQUIPO1,17:50:21,16,10654,19
EQUIPO1,17:50:24,11,10662,19
EQUIPO1,17:50:26,13,10706,19
EQUIPO1,17:50:28,19,10615,19
EQUIPO1,17:50:30,21,10615,19
EQUIPO1,17:50:32,51,10800,20
EQUIPO1,17:50:34,22,10778,20
EQUIPO1,17:50:36,10,10777,20
EQUIPO1,17:50:39,15,10776,20
EQUIPO1,17:50:41,16,10733,19
EQUIPO1,17:50:43,21,10728,19
EQUIPO1,17:50:45,27,10727,19
EQUIPO1,17:50:47,18,10727,19
EQUIPO1,17:50:49,18,10731,19
EQUIPO1,17:50:51,13,10731,19
EQUIPO1,17:50:53,15,10732,19
EQUIPO1,17:50:55,16,10732,19
EQUIPO1,17:50:57,13,10732,19
EQUIPO1,17:50:59,27,10731,19
EQUIPO1,17:51:01,29,10792,20
EQUIPO1,17:51:03,22,10562,18
EQUIPO1,17:51:05,18,10562,18
EQUIPO1,17:51:08,13,10563,18
EQUIPO1,17:51:10,21,10565,18
EQUIPO1,17:51:12,15,10568,18
EQUIPO1,17:51:14,16,10575,18
EQUIPO1,17:51:17,16,10574,18
EQUIPO1,17:51:19,15,10576,18
EQUIPO1,17:51:21,13,10576,18
EQUIPO1,17:51:23,8,10577,18
EQUIPO1,17:51:26,7,10583,18
EQUIPO1,17:51:28,13,10584,18
EQUIPO1,17:51:30,16,10585,18
EQUIPO1,17:51:32,19,10587,18
EQUIPO1,17:51:34,24,10586,18
EQUIPO1,17:51:36,16,10588,18
EQUIPO1,17:51:38,22,10451,18
EQUIPO1,17:51:40,16,10451,18
EQUIPO1,17:51:42,18,10456,18
EQUIPO1,17:51:46,16,10452,18
EQUIPO1,17:51:48,13,10449,18
EQUIPO1,17:51:52,13,10468,18
EQUIPO1,17:51:54,16,10467,18
EQUIPO1,17:51:56,18,10468,18
EQUIPO1,17:51:58,12,10468,18
EQUIPO1,17:52:01,19,10472,18
EQUIPO1,17:52:03,13,10452,18
EQUIPO1,17:52:05,21,10463,18
EQUIPO1,17:52:07,19,10453,18
EQUIPO1,17:52:09,19,10451,18
EQUIPO1,17:52:11,8,10450,18
EQUIPO1,17:52:13,12,10447,18
EQUIPO1,17:52:15,24,10440,17
EQUIPO1,17:52:17,13,10439,17
EQUIPO1,17:52:19,13,10437,17
EQUIPO1,17:52:21,13,10435,17
EQUIPO1,17:52:23,15,10435,17
EQUIPO1,17:52:26,13,10433,17
EQUIPO1,17:52:29,4,10431,17
EQUIPO1,17:52:31,16,10429,17
EQUIPO1,17:52:33,22,10429,17
EQUIPO1,17:52:35,18,10429,17
EQUIPO1,17:52:37,21,10430,17
EQUIPO1,17:52:39,19,10431,17
EQUIPO1,17:52:41,12,10432,17
EQUIPO1,17:52:44,18,10446,18
EQUIPO1,17:52:46,52,10471,18
EQUIPO1,17:52:48,19,10471,18
EQUIPO1,17:52:50,26,10472,18
EQUIPO1,17:52:53,10,10391,17
