PC_NAME,HOUR,CPU_PERCENTAGE,MEMORY,MEMORY_PERCENTAGE 
DESKTOP-O325S3M,19:27:28,2,3813,53
DESKTOP-O325S3M,19:27:31,14,3813,53
DESKTOP-O325S3M,19:27:34,7,3813,53
DESKTOP-O325S3M,19:27:37,7,3814,53
DESKTOP-O325S3M,19:27:40,19,3814,53
DESKTOP-O325S3M,19:27:43,4,3816,53
DESKTOP-O325S3M,19:27:46,10,3816,53
DESKTOP-O325S3M,19:27:49,24,3827,53
DESKTOP-O325S3M,19:27:52,37,3838,53
DESKTOP-O325S3M,19:27:55,21,3846,53
DESKTOP-O325S3M,19:27:58,7,3846,53
DESKTOP-O325S3M,19:28:01,31,3848,53
DESKTOP-O325S3M,19:28:04,10,3847,53
DESKTOP-O325S3M,19:28:07,12,3849,53
DESKTOP-O325S3M,19:28:10,2,3849,53
DESKTOP-O325S3M,19:28:13,25,3852,53
DESKTOP-O325S3M,19:28:16,11,3848,53
DESKTOP-O325S3M,19:28:19,5,3856,53
DESKTOP-O325S3M,19:28:22,5,3857,53
DESKTOP-O325S3M,19:28:25,12,3850,53
DESKTOP-O325S3M,19:28:28,1,3850,53
DESKTOP-O325S3M,19:28:31,87,3873,54
DESKTOP-O325S3M,19:28:34,23,3882,54
DESKTOP-O325S3M,19:28:37,48,3910,54
DESKTOP-O325S3M,19:28:40,3,3912,54
DESKTOP-O325S3M,19:28:43,7,3913,54
DESKTOP-O325S3M,19:28:46,25,3912,54
DESKTOP-O325S3M,19:28:49,8,3912,54
DESKTOP-O325S3M,19:28:52,22,3909,54
DESKTOP-O325S3M,19:28:55,9,3895,54
DESKTOP-O325S3M,19:28:58,7,3895,54
DESKTOP-O325S3M,19:29:01,11,3894,54
DESKTOP-O325S3M,19:29:04,5,3894,54
DESKTOP-O325S3M,19:29:07,8,3895,54
DESKTOP-O325S3M,19:29:10,5,3894,54
DESKTOP-O325S3M,19:29:13,2,3894,54
DESKTOP-O325S3M,19:29:16,24,3896,54
DESKTOP-O325S3M,19:29:19,11,3896,54
DESKTOP-O325S3M,19:29:22,2,3896,54
DESKTOP-O325S3M,19:29:25,21,3890,54
DESKTOP-O325S3M,19:29:28,18,3889,54
DESKTOP-O325S3M,19:29:31,6,3889,54
DESKTOP-O325S3M,19:29:34,16,3890,54
DESKTOP-O325S3M,19:29:37,5,3890,54
DESKTOP-O325S3M,19:29:40,4,3891,54
DESKTOP-O325S3M,19:29:43,16,3891,54
DESKTOP-O325S3M,19:29:46,16,3892,54
DESKTOP-O325S3M,19:29:49,2,3893,54
DESKTOP-O325S3M,19:29:52,19,3894,54
DESKTOP-O325S3M,19:29:55,12,3894,54
DESKTOP-O325S3M,19:29:58,5,3895,54
DESKTOP-O325S3M,19:30:01,16,3895,54
DESKTOP-O325S3M,19:30:04,16,3896,54
DESKTOP-O325S3M,19:30:07,7,3898,54
DESKTOP-O325S3M,19:30:10,5,3899,54
DESKTOP-O325S3M,19:30:13,13,3899,54
DESKTOP-O325S3M,19:30:16,4,3900,54
DESKTOP-O325S3M,19:30:19,16,3900,54
DESKTOP-O325S3M,19:30:22,11,3900,54
DESKTOP-O325S3M,19:30:25,16,3900,54
DESKTOP-O325S3M,19:30:28,12,3901,54
DESKTOP-O325S3M,19:30:31,2,3901,54
DESKTOP-O325S3M,19:30:34,13,3901,54
DESKTOP-O325S3M,19:30:37,5,3901,54
DESKTOP-O325S3M,19:30:40,12,3901,54
DESKTOP-O325S3M,19:30:43,17,3903,54
DESKTOP-O325S3M,19:30:46,18,3903,54
DESKTOP-O325S3M,19:30:49,8,3904,54
